Initiative Code,Initiative Name,website id
ES-037,Esther Molina,496152
ES-038,Fundación Carrasso,
ES-040,Terra Alimenta,
ES-041,Cooperativa Bejis,496252
ES-042,Cooperativa de Viver,496352
ES-043,L'Olivera,496452
ES-046,Ecocentral,471952
ES-047,La Calma,
ES-055,Familia Torres,472052
ES-056,Raoul Ferrer Fernandez,472152
ES-059,Oficina Conjunta Alimentación Sostenible (Ayuntamiento + Generalitat de Catalunya),
ES-060,Al Barrio,472252
ES-064,Verdcamp Fruits,472352
FR-001,Aful,498552
FR-002,Edenn,446252
FR-003,Ferme Blanc Verger,446352
FR-004,Bandes de Cheffes,446452
FR-005,Le Champs des Possibles,446552
FR-006,Nona,446652
FR-007,La Chorba,446752
FR-008,Refettorio Paris,446852
FR-009,Coop Circuits,446952
FR-010,Les Marmites Volantes,445452
FR-011,Mam'Ayoka,445352
FR-012,Merci les Algues !,445252
FR-013,KedelaÏ,445152
FR-014,Réseau Cocagne,447052
FR-015,Andes,447152
FR-023,Olimpe Technology,447252
FR-028,Bio&Lo,447352
FR-029,Feedbac,444852
FR-032,Ecotable - Label,444752
FR-034,Nutreets,447452
FR-043,Les Anges Gardins,457252
FR-048,Laiterie La Chapelle,444652
FR-049,Re-Belle,447552
FR-053,C'est Bio l'Anjou,453252
FR-054,Les Râteleurs,447652
FR-056,Les Cuisines Nourricières,453352
FR-059,Recup et Gamelles,444552
FR-066,Réseau Marguerite,447752
FR-067,Pic'Assiette,447852
FR-068,La Basse Cour,447952
FR-085,Association Semailles,448052
FR-094,Minus Farm,457352
FR-095,Ferme Urbaine du Trichon,453452
FR-102,La Ruche qui dit Oui,442352
FR-105,Symbiose Serre Bio,498652
FR-106,Catherine Bassani,498752
FR-107,Cap Veggie,457552
FR-111,Les Pieds dans le Plat,498852
FR-117,Crisalim,472452
FR-118,Les Greniers d'Abondance,472552
FR-120,The Agri'Food Collage,498952
FR-123,Foodbiome,457452
FR-124,Terres en Villes,472652
FR-125,Let's Food,499052
FR-137,Open Food Facts,472752
FR-139,Aux Goûts du Jour,472852
FR-140,Le Paysan Urbain,472952
FR-143,Loubatas,483052
FR-144,Les Cols Vert,483152
FR-155,Philippe Lemanceau,502352
FR-156,Marie-Hélène Riamon,
FR-158,VeraGrow,483252
FR-160,Défis Foyers à Alimentation Positive,483352
FR-161,La Regie Agricole - village en transition,483452
FR-162,Myfood - serres innovantes aquaponiques,483552
FR-165,Les Recoltants,483652
FR-167,La Brasserie de l'Être,499252
FR-169,Les Glaneuses,483752
FR-173,Le potager d'un curieux,483852
FR-174,C'est qui le patron?,483952
FR-177,Sophie Nicklaus,484052
